short From,long Form,unit,description
widthTP_SP,action potential width (threshold to peak) of short pulse protocol,ms,width at half-amplitude (threshold to peak) of the action potential based on the first supratheshold short pulse action potential
peakSP,peak of action potential of short pulse protocol,mV,peak of the action potential based on first suprathreshold short pulse sweep 
rheoRt,Rate of the rheobase sweep,Hz,number of spikes in rheo sweep divided by length of long pulse (1s)
lastQuisc,last quiscient period,ms,Minumum intervall from last spike to the end of the stimulus taken from all sweeps
medInstaRt,median instantenous rate,Hz,Inverse of the median interspike interval of all interspike intervals  of the cell 
DFR_P90,"dynamic frequency range, 90 percentile",Hz,90 percentile of all inverse interspike intervals 
DFR_P10,"dynamic frequency range, 10 percentile",Hz,10 percentile of all inverse interspike intervals 
DFR_IQR,"dynamic frequency range, interquartile range",Hz,interquartile range of all inverse interspike intervals 
AdaptRatB1B2,"adaptation ratio, first bin versus second bin",none,Stimulus duration of the long pulse is divided up into 13 bins. Spike counts per bin are calculated summing up across stimulus intensities. Ratio of spike count of first bin and spike count of second bin
AdaptRatB1B13,"adaptation ratio, first bin versus thirteened bin",none,Stimulus duration of the long pulse is divided up into 13 bins. Spike counts per bin are calculated summing up across stimulus intensities. Ratio of spike count of first bin and spike count of last bin
StimAdapB123,"stimulus adaptation, in the first three bins",none,Stimulus duration of the long pulse is divided up into 13 bins. Ratio of spike counts of the first three bins at  stimulus intensity after rheobase and spike counts of the first three bins at high stimulus intensity 
StimAdapB7_13,"stimulus adaptation,bins 7 to 13",none,Stimulus duration of the long pulse is divided up into 13 bins. Ratio of spike counts of the last six bins at low stimulus intensity after rheobase and spike counts of the last six bins at high stimulus intensity 
fIslope,slope of frequency-current curve,Hz/pA,slope of a robust linear fit of I-f curve
maxRt,maximum firing rate,Hz,Maximum firing rate of all sweeps 
rectI,rectifcation index,none,non-linearity of IU curve used for input resistance quantified by ratio of Vm/pA ratiosof minimum current step and maximum current step
cvISI,coefficient of varriance of inter spike intervall,none,mean interspike intervall of hero sweep divided by standard deviation of hero sweep
HeroRt,hero sweep firing rate,Hz,number of spikes in hero sweep divided by length of long pulse (1s)
HeroAmp,current amplitude of the hero sweep,pA,current amplitude of the hero sweep determined by the closes current step to rheobase +40/60 pA
heroLat,latency of first spike based on hero sweep ,ms,time distance between threshold of first action potential of the hero sweep and stimulus onset
peakAdapt,peak adaptation,none,ratio of height of the first action potential of the herosweep and height of the last action potential of the hero sweep
adaptIdx,adaptation index,none,sum of (ISI(i+1)-ISI(i))/(ISI(i+1)+ISI(i)) divided by number of ISIs-1; taken from the hero sweep
burst,burst index,none, first  ISIs of the sweep divided by mean ISI of sweep
TrghDiff,trough difference,mV,difference in membrane potential between first trough and 2nd last trough
TrghRatio,trough ratio,none,ratio of membrane potential difference btween baseline membrane potential and first trough and  membrane potential difference btween baseline membrane potential and 2nd last trough
Temperature,temperature,°C,
RinOffset,input resistance offset,mV,offset membrane deflection at 0 pA  from input resistance fit
